player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
185015,Lounes Gaouaoui,0,1,87.0,188.0,ALG,43843,,1977-09-28,32.7,Goalkeeper,Algeria,ALG
215208,Madjid Bouguerra,1,2,92.0,189.0,ALG,43843,,1982-10-07,27.7,Defender,Algeria,ALG
214771,Nadir Belhadj,1,3,79.0,177.0,ALG,43843,,1982-06-18,28.0,Defender,Algeria,ALG
212808,Anther Yahia,1,4,80.0,185.0,ALG,43843,,1982-03-21,28.2,Defender,Algeria,ALG
296827,Rafik Halliche,1,5,89.0,187.0,ALG,43843,,1986-09-02,23.8,Defender,Algeria,ALG
205709,Yazid Mansouri,2,6,72.0,175.0,ALG,43843,,1978-02-25,32.3,Midfielder,Algeria,ALG
323344,Ryad Boudebouz,2,7,59.0,172.0,ALG,43843,,1990-02-19,20.3,Midfielder,Algeria,ALG
321682,Medhi Lacen,2,8,78.0,175.0,ALG,43843,,1984-03-15,26.2,Midfielder,Algeria,ALG
305702,Abdelkader Ghezzal,3,9,85.0,186.0,ALG,43843,,1984-12-05,25.5,Striker,Algeria,ALG
177512,Rafik Saifi,3,10,75.0,178.0,ALG,43843,,1975-02-07,35.3,Striker,Algeria,ALG
296836,Rafik Djebbour,3,11,84.0,185.0,ALG,43843,,1984-03-08,26.3,Striker,Algeria,ALG
323337,Habib Bellaid,1,12,88.0,189.0,ALG,43843,,1986-03-28,24.2,Defender,Algeria,ALG
296826,Karim Matmour,2,13,78.0,181.0,ALG,43843,,1985-06-25,25.0,Midfielder,Algeria,ALG
244870,Abdelkader Laifaoui,1,14,72.0,177.0,ALG,43843,,1981-07-29,28.9,Defender,Algeria,ALG
205717,Karim Ziani,2,15,68.0,168.0,ALG,43843,,1982-08-17,27.8,Midfielder,Algeria,ALG
296819,Faouzi Chaouchi,0,16,85.0,180.0,ALG,43843,,1984-12-05,25.5,Goalkeeper,Algeria,ALG
323340,Adlane Guedioura,2,17,82.0,185.0,ALG,43843,,1985-11-12,24.6,Midfielder,Algeria,ALG
239237,Carl Medjani,1,18,83.0,180.0,ALG,43843,,1985-05-15,25.1,Defender,Algeria,ALG
183882,Hassan Yebda,2,19,82.0,188.0,ALG,43843,,1984-05-14,26.1,Midfielder,Algeria,ALG
323339,Djamel Mesbah,1,20,80.0,179.0,ALG,43843,,1984-10-09,25.7,Defender,Algeria,ALG
323346,Foued Kadir,2,21,77.0,180.0,ALG,43843,,1983-12-05,26.5,Midfielder,Algeria,ALG
315883,Djamel Abdoun,2,22,71.0,180.0,ALG,43843,,1986-02-14,24.3,Midfielder,Algeria,ALG
323326,Mbolhi Rais,0,23,87.0,186.0,ALG,43843,,1986-04-25,24.1,Goalkeeper,Algeria,ALG
318191,Diego Pozo,0,1,80.0,183.0,ARG,43922,,1978-02-16,32.3,Goalkeeper,Argentina,ARG
233703,Martin Demichelis,1,2,81.0,184.0,ARG,43922,,1980-12-20,29.5,Defender,Argentina,ARG
202429,Clemente Rodriguez,1,3,66.0,166.0,ARG,43922,,1981-07-31,28.9,Defender,Argentina,ARG
181441,Nicolas Burdisso,1,4,77.0,174.0,ARG,43922,,1981-04-12,29.2,Defender,Argentina,ARG
313704,Mario Bolatti,2,5,84.0,189.0,ARG,43922,,1985-02-17,25.3,Midfielder,Argentina,ARG
201964,Gabriel Heinze,1,6,78.0,178.0,ARG,43922,,1978-04-19,32.1,Defender,Argentina,ARG
266800,Angel Di Maria,2,7,75.0,178.0,ARG,43922,,1988-02-14,22.3,Midfielder,Argentina,ARG
153978,Juan Veron,2,8,81.0,183.0,ARG,43922,,1975-03-09,35.3,Midfielder,Argentina,ARG
271550,Gonzalo Higuain,3,9,75.0,184.0,ARG,43922,,1987-12-10,22.5,Striker,Argentina,ARG
229397,Lionel Messi,3,10,72.0,170.0,ARG,43922,,1987-06-24,23.0,Striker,Argentina,ARG
182373,Carlos Tevez,3,11,79.0,171.0,ARG,43922,,1984-02-05,26.3,Striker,Argentina,ARG
202427,Ariel Garce,1,12,76.0,175.0,ARG,43922,,1979-07-14,30.9,Defender,Argentina,ARG
3076,Walter Samuel,1,13,83.0,183.0,ARG,43922,,1978-03-23,32.2,Defender,Argentina,ARG
182372,Javier Mascherano,2,14,73.0,174.0,ARG,43922,,1984-06-08,26.0,Midfielder,Argentina,ARG
310116,Nicolas Otamendi,1,15,82.0,183.0,ARG,43922,,1988-02-12,22.3,Defender,Argentina,ARG
228528,Sergio Aguero,3,16,74.0,172.0,ARG,43922,,1988-06-02,22.0,Striker,Argentina,ARG
198149,Jonás Gutiérrez,2,17,70.0,182.0,ARG,43922,,1983-07-05,26.9,Midfielder,Argentina,ARG
180583,Martin Palermo,3,18,84.0,188.0,ARG,43922,,1973-11-07,36.6,Striker,Argentina,ARG
198273,Diego Milito,3,19,78.0,183.0,ARG,43922,,1979-06-12,31.0,Striker,Argentina,ARG
184291,Maxi Rodriguez,2,20,79.0,180.0,ARG,43922,,1981-01-02,29.4,Midfielder,Argentina,ARG
306144,Mariano Andujar,0,21,87.0,194.0,ARG,43922,,1983-07-30,26.9,Goalkeeper,Argentina,ARG
266783,Sergio Romero,0,22,87.0,192.0,ARG,43922,,1987-02-22,23.3,Goalkeeper,Argentina,ARG
321683,Javier Pastore,2,23,71.0,173.0,ARG,43922,,1989-06-20,21.0,Midfielder,Argentina,ARG
94497,Mark Schwarzer,0,1,86.0,196.0,GER,43976,,1972-10-06,37.7,Goalkeeper,Australia,AUS
178312,Lucas Neill,1,2,80.0,185.0,AUS,43976,,1978-03-09,32.3,Defender,Australia,AUS
154061,Craig Moore,1,3,80.0,186.0,AUS,43976,,1975-12-12,34.5,Defender,Australia,AUS
213001,Tim Cahill,3,4,76.0,180.0,AUS,43976,,1979-12-06,30.5,Striker,Australia,AUS
178303,Jason Culina,2,5,75.0,175.0,AUS,43976,,1980-08-05,29.8,Midfielder,Australia,AUS
210003,Michael Beauchamp,1,6,85.0,191.0,AUS,43976,,1981-03-08,29.3,Defender,Australia,AUS
178306,Brett Emerton,2,7,85.0,185.0,AUS,43976,,1979-02-22,31.3,Midfielder,Australia,AUS
181474,Luke Wilkshire,1,8,80.0,177.0,AUS,43976,,1981-10-02,28.7,Defender,Australia,AUS
252195,Joshua Kennedy,3,9,84.0,194.0,AUS,43976,,1982-08-20,27.8,Striker,Australia,AUS
159069,Harry Kewell,3,10,85.0,183.0,AUS,43976,,1978-09-22,31.7,Striker,Australia,AUS
182002,Scott Chipperfield,1,11,70.0,180.0,AUS,43976,,1975-12-30,34.4,Defender,Australia,AUS
229021,Adam Federici,0,12,90.0,188.0,AUS,43976,,1985-01-31,25.4,Goalkeeper,Australia,AUS
178324,Vince Grella,2,13,79.0,183.0,AUS,43976,,1979-10-05,30.7,Midfielder,Australia,AUS
182606,Brett Holman,3,14,73.0,176.0,AUS,43976,,1984-03-27,26.2,Striker,Australia,AUS
197514,Mile Jedinak,2,15,78.0,188.0,AUS,43976,,1984-08-03,25.9,Midfielder,Australia,AUS
182617,Carl Valeri,2,16,76.0,180.0,AUS,43976,,1984-08-14,25.8,Midfielder,Australia,AUS
290802,Nikita Rukavytsya,3,17,77.0,183.0,AUS,43976,,1987-06-22,23.0,Striker,Australia,AUS
209168,Eugen Galekovic,0,18,91.0,186.0,AUS,43976,,1981-06-12,29.0,Goalkeeper,Australia,AUS
209169,Richard Garcia,3,19,72.0,180.0,AUS,43976,,1981-09-04,28.8,Striker,Australia,AUS
197411,Mark Milligan,1,20,78.0,178.0,AUS,43976,,1985-08-04,24.9,Defender,Australia,AUS
198613,David Carney,1,21,78.0,181.0,AUS,43976,,1983-11-30,26.5,Defender,Australia,AUS
290800,Dario Vidosic,2,22,75.0,185.0,AUS,43976,,1987-04-08,23.2,Midfielder,Australia,AUS
178299,Mark Bresciano,3,23,73.0,182.0,AUS,43976,,1980-02-11,30.3,Striker,Australia,AUS
179038,Julio Cesar,0,1,83.0,179.0,BRA,43924,,1979-09-03,30.8,Goalkeeper,Brazil,BRA
181406,Maicon,1,2,89.0,186.0,BRA,43924,,1981-07-26,28.9,Defender,Brazil,BRA
178520,Lucio,1,3,84.0,188.0,BRA,43924,,1978-05-08,32.1,Defender,Brazil,BRA
185324,Juan,1,4,80.0,182.0,BRA,43924,,1979-02-01,31.4,Defender,Brazil,BRA
194818,Felipe Melo,2,5,86.0,184.0,BRA,43924,,1983-06-26,27.0,Midfielder,Brazil,BRA
318171,Michel Bastos,1,6,71.0,179.0,BRA,43924,,1983-08-02,26.9,Defender,Brazil,BRA
202076,Elano,2,7,73.0,174.0,BRA,43924,,1981-06-14,29.0,Midfielder,Brazil,BRA
187267,Gilberto Silva,2,8,82.0,185.0,BRA,43924,,1976-10-07,33.7,Midfielder,Brazil,BRA
200158,Luis Fabiano,3,9,86.0,186.0,BRA,43924,,1980-11-08,29.6,Striker,Brazil,BRA
184312,Kaka,2,10,82.0,186.0,ITA,43924,,1982-04-22,28.1,Midfielder,Brazil,BRA
194815,Robinho,3,11,60.0,172.0,BRA,43924,,1984-01-25,26.4,Striker,Brazil,BRA
200718,Gomes,0,12,88.0,191.0,BRA,43924,,1981-02-15,29.3,Goalkeeper,Brazil,BRA
190962,Dani Alves,1,13,70.0,172.0,BRA,43924,,1983-05-06,27.1,Defender,Brazil,BRA
184316,Luisao,1,14,95.0,193.0,BRA,43924,,1981-02-13,29.3,Defender,Brazil,BRA
289964,Thiago Silva,1,15,78.0,183.0,BRA,43924,,1984-09-22,25.7,Defender,Brazil,BRA
176534,Gilberto Melo,1,16,81.0,180.0,BRA,43924,,1976-04-25,34.1,Defender,Brazil,BRA
239419,Josué,2,17,66.0,169.0,BRA,43924,,1979-07-19,30.9,Midfielder,Brazil,BRA
298959,Ramires,2,18,70.0,181.0,BRA,43924,,1987-03-24,23.2,Midfielder,Brazil,BRA
181415,Julio Baptista,2,19,88.0,185.0,BRA,43924,,1981-10-01,28.7,Midfielder,Brazil,BRA
188394,Kleberson,2,20,66.0,175.0,BRA,43924,,1979-06-19,31.0,Midfielder,Brazil,BRA
298628,Nilmar,3,21,69.0,180.0,BRA,43924,,1984-07-14,25.9,Striker,Brazil,BRA
275765,Doni,0,22,93.0,194.0,BRA,43924,,1979-10-22,30.6,Goalkeeper,Brazil,BRA
233953,Grafite,3,23,83.0,189.0,BRA,43924,,1979-04-02,31.2,Striker,Brazil,BRA
178598,Carlos Kameni,0,1,79.0,185.0,CMR,43849,,1984-02-18,26.3,Goalkeeper,Cameroon,CMR
306180,Benoit Assou-Ekotto,1,2,85.0,178.0,CMR,43849,,1984-03-24,26.2,Defender,Cameroon,CMR
290931,Nicolas Nkoulou,1,3,79.0,185.0,CMR,43849,,1990-03-27,20.2,Defender,Cameroon,CMR
170657,Rigobert Song,1,4,77.0,185.0,CMR,43849,,1976-07-01,33.9,Defender,Cameroon,CMR
296813,Sebastien Bassong,1,5,,187.0,CMR,43849,,1986-07-09,23.9,Defender,Cameroon,CMR
200261,Alexandre Song,2,6,70.0,183.0,CMR,43849,,1987-09-09,22.8,Midfielder,Cameroon,CMR
200262,Landry Nguemo,2,7,70.0,172.0,CMR,43849,,1985-11-28,24.5,Midfielder,Cameroon,CMR
176652,Geremi,1,8,78.0,177.0,ENG,43849,,1978-12-20,31.5,Defender,Cameroon,CMR
170667,Samuel Etoo,3,9,75.0,181.0,CMR,43849,,1981-03-10,29.3,Striker,Cameroon,CMR
198293,Achille Emana,3,10,77.0,180.0,CMR,43849,,1982-06-05,28.0,Striker,Cameroon,CMR
199600,Jean Makoun,2,11,75.0,170.0,CMR,43849,,1983-05-29,27.0,Midfielder,Cameroon,CMR
319344,Gaëtan Bong,1,12,80.0,183.0,CMR,43849,,1988-04-25,22.1,Defender,Cameroon,CMR
312316,Choupo-Moting Eric Maxim,3,13,92.0,191.0,CMR,43849,,1989-03-23,21.2,Striker,Cameroon,CMR
278732,Aurelien Chedjou,1,14,81.0,185.0,CMR,43849,,1985-06-20,25.0,Defender,Cameroon,CMR
214135,Pierre Webó,3,15,80.0,180.0,CMR,43849,,1982-01-20,28.4,Striker,Cameroon,CMR
3369,Hamidou Souleymanou,0,16,,187.0,FRA,43849,,1973-11-22,36.6,Goalkeeper,Cameroon,CMR
178608,Mohamadou Idrissou,3,17,82.0,190.0,CMR,43849,,1980-03-08,30.3,Striker,Cameroon,CMR
310048,Eyong Enoh,2,18,78.0,180.0,CMR,43849,,1986-03-23,24.2,Midfielder,Cameroon,CMR
200935,Stephane Mbia,1,19,75.0,190.0,CMR,43849,,1986-05-20,24.1,Defender,Cameroon,CMR
290756,Georges Mandjeck,2,20,64.0,181.0,CMR,43849,,1988-12-09,21.5,Midfielder,Cameroon,CMR
320375,Joel Matip,2,21,80.0,194.0,CMR,43849,,1991-08-08,18.8,Midfielder,Cameroon,CMR
320376,Guy Ndy,0,22,,185.0,CMR,43849,,1986-02-25,24.3,Goalkeeper,Cameroon,CMR
323698,Vincent Aboubakar,3,23,75.0,176.0,CMR,43849,,1992-01-22,18.4,Striker,Cameroon,CMR
202650,Claudio Bravo,0,1,80.0,184.0,CHI,43925,,1983-04-13,27.2,Goalkeeper,Chile,CHI
181598,Ismael Fuentes,1,2,78.0,181.0,CHI,43925,,1981-08-04,28.9,Defender,Chile,CHI
202649,Waldo Ponce,1,3,82.0,183.0,CHI,43925,,1982-12-04,27.5,Defender,Chile,CHI
228617,Mauricio Isla,1,4,76.0,177.0,CHI,43925,,1988-06-12,22.0,Defender,Chile,CHI
3324,Pablo Contreras,1,5,73.0,178.0,CHI,43925,,1978-09-11,31.7,Defender,Chile,CHI
229436,Carlos Carmona,2,6,77.0,179.0,CHI,43925,,1987-02-21,23.3,Midfielder,Chile,CHI
228627,Alexis Sanchez,3,7,70.0,169.0,CHI,43925,,1988-12-19,21.5,Striker,Chile,CHI
267543,Arturo Vidal,2,8,74.0,178.0,CHI,43925,,1987-05-22,23.1,Midfielder,Chile,CHI
209501,Humberto Suazo,3,9,76.0,172.0,CHI,43925,,1981-05-10,29.1,Striker,Chile,CHI
202655,Jorge Valdivia,2,10,71.0,173.0,CHI,43925,,1983-10-19,26.6,Midfielder,Chile,CHI
201785,Mark Gonzalez,3,11,74.0,175.0,CHI,43925,,1984-07-10,25.9,Striker,Chile,CHI
281253,Miguel Pinto,0,12,80.0,180.0,CHI,43925,,1983-07-04,26.9,Goalkeeper,Chile,CHI
281256,Marco Estrada,2,13,78.0,174.0,CHI,43925,,1983-05-28,27.0,Midfielder,Chile,CHI
229435,Matias Fernandez,2,14,74.0,176.0,CHI,43925,,1986-05-15,24.1,Midfielder,Chile,CHI
209502,Jean Beausejour,3,15,80.0,178.0,CHI,43925,,1984-06-01,26.0,Striker,Chile,CHI
281252,Fabian Orellana,3,16,59.0,168.0,CHI,43925,,1986-01-27,24.4,Striker,Chile,CHI
267527,Gary Medel,1,17,75.0,171.0,CHI,43925,,1987-08-03,22.9,Defender,Chile,CHI
229439,Gonzalo Jara,1,18,74.0,177.0,CHI,43925,,1985-08-29,24.8,Defender,Chile,CHI
202653,Gonzalo Fierro,2,19,70.0,171.0,CHI,43925,,1983-03-21,27.2,Midfielder,Chile,CHI
181603,Rodrigo Millar,2,20,76.0,182.0,CHI,43925,,1981-11-03,28.6,Midfielder,Chile,CHI
177270,Rodrigo Tello,2,21,77.0,171.0,CHI,43925,,1979-10-14,30.7,Midfielder,Chile,CHI
313874,Esteban Paredes,3,22,82.0,179.0,CHI,43925,,1980-08-01,29.9,Striker,Chile,CHI
323720,Luis Marín,0,23,88.0,186.0,CHI,43925,,1983-05-18,27.1,Goalkeeper,Chile,CHI
178958,Boubacar Barry,0,1,69.0,180.0,CIV,43854,,1979-12-30,30.4,Goalkeeper,Côte d'Ivoire,CIV
291321,Benjamin Angoua,1,2,69.0,178.0,CIV,43854,,1986-11-28,23.5,Defender,Côte d'Ivoire,CIV
198489,Arthur Boka,1,3,67.0,166.0,CIV,43854,,1983-04-02,27.2,Defender,Côte d'Ivoire,CIV
